0/0/63, 0/0/64, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/93/0, 88/0/0, 0/89/93, 0/90/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/62, 0/0/63, 0/0/64, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 
76/0/0, 77/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/45, 0/0/46, 0/0/0, 0/0/0, 0/0/0, 0/57/0, 7/0/0, 8/0/0, 11/0/0, 12/0/0, 0/60/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/45, 0/0/46, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/75, 0/0/76, 0/0/77, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 94/93/0, 0/93/0, 54/0/93, 53/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 56/0/0, 55/93/0, 0/93/0, 0/95/93, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 
89/0/0, 90/0/0, 54/0/0, 67/0/0, 65/0/0, 65/0/0, 68/0/0, 55/0/0, 0/0/58, 0/0/59, 0/0/93, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 48/0/0, 37/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/93, 0/0/94, 0/0/93, 0/0/58, 0/0/59, 0/0/0, 0/0/93, 0/96/93, 0/0/0, 0/0/93, 0/0/88, 0/0/89, 0/0/90, 0/0/0, 0/0/93, 0/0/61, 0/0/0, 0/0/0, 0/45/0, 0/46/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 57/45/0, 52/46/0, 9/0/0, 39/0/0, 66/60/0, 67/0/0, 65/0/0, 65/0/0, 65/0/0, 68/0/0, 69/57/0, 52/0/0, 9/0/0, 39/0/0, 60/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 
10/0/0, 11/0/0, 12/0/0, 80/0/0, 92/0/0, 92/0/0, 81/0/0, 7/0/0, 8/0/0, 11/0/0, 12/0/0, 60/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/57, 7/0/0, 8/0/0, 10/0/0, 10/0/0, 10/0/0, 10/0/0, 10/0/0, 10/0/0, 10/0/0, 10/0/0, 10/0/0, 10/0/0, 9/0/0, 9/0/0, 9/0/0, 9/0/0, 9/0/0, 39/0/93, 60/58/93, 0/59/93, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/93/0, 0/58/93, 21/59/62, 23/63/0, 24/64/0, 79/0/0, 80/0/0, 92/0/0, 92/0/0, 92/0/0, 81/0/0, 82/0/0, 21/0/0, 22/0/0, 24/0/0, 45/0/0, 46/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 
36/0/0, 37/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 34/0/0, 37/0/0, 0/0/0, 0/0/0, 0/0/0, 93/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 21/0/0, 23/0/0, 23/0/0, 23/0/0, 23/0/0, 23/0/0, 23/0/0, 22/0/0, 22/0/0, 22/93/0, 22/94/93, 22/0/0, 22/0/0, 23/0/0, 23/0/0, 23/0/57, 52/0/0, 9/0/0, 39/0/0, 60/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 57/0/0, 52/0/0, 9/9/0, 39/75/0, 23/76/0, 24/77/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 21/0/0, 22/0/0, 24/96/93, 58/93/0, 59/93/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 
37/0/0, 0/0/0, 62/0/0, 63/0/0, 64/0/0, 0/0/0, 93/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 57/0/0, 25/0/0, 60/0/0, 45/0/0, 46/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 21/0/0, 23/0/0, 23/62/0, 23/63/0, 23/64/0, 23/0/0, 23/93/0, 23/0/0, 22/57/0, 22/1/0, 23/6/0, 22/60/0, 22/0/0, 36/0/0, 47/0/62, 47/0/63, 21/0/64, 23/0/0, 24/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 21/0/0, 23/0/0, 24/88/93, 23/89/93, 24/90/0, 93/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/62/0, 21/63/0, 22/64/57, 52/0/0, 9/0/0, 39/0/0, 60/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 
0/0/0, 0/0/0, 75/0/0, 76/0/0, 77/0/0, 57/0/0, 25/0/0, 60/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 38/0/0, 93/0/0, 58/0/0, 59/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 21/0/0, 23/0/0, 23/75/0, 23/76/0, 23/77/45, 23/57/46, 23/25/0, 22/60/0, 22/0/0, 23/0/0, 23/0/0, 23/0/0, 22/0/0, 24/0/0, 0/0/75, 0/0/76, 21/0/77, 23/0/0, 24/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/45, 0/0/46, 0/0/0, 21/0/0, 22/57/0, 52/0/0, 9/0/0, 9/0/0, 39/0/0, 60/0/0, 45/0/0, 46/0/0, 0/0/0, 0/0/0, 0/75/0, 21/76/0, 22/77/0, 21/0/0, 22/0/0, 24/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 
93/0/0, 0/0/0, 88/93/0, 89/0/0, 90/0/0, 95/0/0, 38/0/0, 96/0/0, 0/0/0, 0/0/0, 0/0/0, 57/0/0, 1/0/0, 2/0/0, 3/0/0, 5/0/0, 6/0/0, 60/0/0, 0/0/0, 0/0/0, 0/93/0, 21/0/0, 23/93/0, 23/88/93, 23/89/0, 23/90/58, 23/93/59, 23/38/0, 22/93/94, 22/0/0, 22/0/0, 22/0/0, 22/0/0, 22/95/93, 24/61/0, 0/0/88, 0/0/89, 21/0/90, 23/93/0, 24/93/0, 0/0/0, 0/93/94, 93/0/0, 0/0/58, 0/93/59, 93/0/0, 21/0/0, 23/93/0, 21/0/0, 23/93/0, 22/93/0, 24/93/0, 0/0/0, 58/93/0, 59/0/0, 0/93/0, 61/0/0, 0/88/93, 21/89/93, 22/90/0, 21/93/0, 22/93/0, 24/61/0, 93/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 
3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 5/0/0, 33/6/0, 19/60/0, 19/0/0, 19/0/0, 15/0/0, 16/0/0, 18/0/0, 19/0/0, 19/0/0, 19/0/0, 19/57/0, 13/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 26/0/0, 22/19/60, 22/19/0, 22/19/0, 22/19/57, 13/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 3/0/0, 26/0/0, 19/60/0, 19/0/0, 19/0/0, 19/0/0, 19/0/0, 19/0/0, 
16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 18/0/0, 33/0/0, 33/0/0, 33/0/32, 33/0/0, 15/0/0, 16/0/0, 18/0/0, 33/0/0, 33/0/32, 33/0/0, 33/0/32, 15/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 18/0/0, 22/0/33, 22/0/32, 22/0/33, 22/0/32, 15/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 18/0/0, 33/0/0, 32/0/0, 33/0/0, 33/0/0, 32/0/0, 33/0/0, 
16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 16/0/0, 18/0/0, 20/0/0, 20/0/0, 20/0/0, 15/0/0, 16/0/0, 18/0/0, 0/0/19, 0/0/19, 0/0/19, 0/0/19, 0/0/15, 0/0/16, 0/0/16, 0/0/16, 0/0/16, 0/0/16, 0/0/16, 0/0/16, 0/0/16, 0/0/16, 0/0/16, 0/0/16, 0/0/16, 0/0/16, 0/0/16, 0/0/16, 0/0/16, 0/0/16, 0/0/16, 0/0/16, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 0/0/0, 
